mid,buyNum,buyMoney,buyTotal,buyTime,buyNote,buyType,byMid,byName,orderNumber,aliOrderNum,byMoneymemberMoney
176070,900,8500,,2016-06-04T15:40:34.984Z,"","1",908013,"客户经理乖乖",,,
142344,500,8500,,2016-06-04T02:38:56.693Z,"公司赠送","1",908013,"客户经理乖乖",,,
461184,500,8500,,2016-06-03T01:42:24.112Z,"公司赠送","1",908013,"客户经理乖乖",,,
765719,500,8500,,2016-06-02T13:12:39.936Z,"活动赠送","1",156172,"客户经理佳佳",,,
221889,1900,8500,,2016-06-22T07:46:39.052Z,"","1",199978,"丫丫",,,
268080,900,8500,,2016-06-05T03:14:47.599Z,"","1",965479,"超超",,,
131084,900,8500,,2016-06-06T06:57:39.327Z,"","1",156172,"客户经理佳佳",,,
405674,900,8500,,2016-06-04T12:36:49.520Z,"","1",156172,"客户经理佳佳",,,
925194,500,8500,,2016-06-03T08:46:25.818Z,"活动赠送","1",156172,"客户经理佳佳",,,
272461,1900,8500,,2016-06-05T14:16:13.142Z,"","1",156172,"客户经理佳佳",,,
575304,900,8500,,2016-06-24T02:57:55.742Z,"","1",199978,"丫丫",,,
511760,900,8500,,2016-06-10T01:44:28.822Z,"","1",908013,"客户经理乖乖",,,
249390,500,8500,,2016-06-04T01:57:38.856Z,"活动赠送","1",156172,"客户经理佳佳",,,
884694,900,8500,,2016-06-04T07:52:09.947Z,"","1",156172,"客户经理佳佳",,,
263361,900,8500,,2016-06-04T13:54:40.855Z,"","1",908013,"客户经理乖乖",,,
283781,900,8000,,2016-06-14T09:20:22.917Z,"","1",908013,"客户经理乖乖",,,
623838,1900,8000,,2016-06-09T13:01:47.953Z,"","1",965479,"超超",,,
185689,900,8000,,2016-06-28T05:38:58.328Z,"","1",199978,"丫丫",,,
462167,1900,8000,,2016-06-09T08:51:22.871Z,"","1",908013,"客户经理乖乖",,,
619484,900,8000,,2016-06-07T15:36:23.768Z,"","1",156172,"客户经理佳佳",,,
149835,900,8000,,2016-06-20T10:07:27.124Z,"","1",199978,"丫丫",,,
439009,900,8000,,2016-06-13T04:41:22.228Z,"","1",692829,"图图",,,
938605,900,8000,,2016-06-04T14:16:28.459Z,"","1",965479,"超超",,,
954358,4000,8000,,2016-06-28T06:52:12.020Z,"","1",199978,"丫丫",,,
397754,1900,8000,,2016-06-05T11:25:18.214Z,"","1",156172,"客户经理佳佳",,,
889682,4000,8000,,2016-06-22T05:24:38.836Z,"","1",199978,"丫丫",,,
194171,4000,8000,,2016-06-19T10:05:32.988Z,"","1",199978,"丫丫",,,
824130,900,8000,,2016-06-05T07:25:23.811Z,"","1",908013,"客户经理乖乖",,,
925183,900,8000,,2016-06-22T01:57:31.998Z,"","1",199978,"丫丫",,,
275364,1900,8000,,2016-06-04T13:03:16.225Z,"","1",908013,"客户经理乖乖",,,
592694,900,7500,,2016-06-07T06:16:00.798Z,"","1",908013,"客户经理乖乖",,,
747059,1900,7500,,2016-06-25T12:17:09.729Z,"","1",199978,"丫丫",,,
782876,900,7500,,2016-06-04T09:18:44.797Z,"","1",908013,"客户经理乖乖",,,
124600,1900,7500,,2016-06-05T03:41:09.505Z,"","1",965479,"超超",,,
595914,900,7500,,2016-06-04T15:46:33.026Z,"","1",908013,"客户经理乖乖",,,
821293,900,7500,,2016-06-29T06:41:31.023Z,"","1",199978,"丫丫",,,
832469,900,7500,,2016-06-09T01:33:41.433Z,"","1",156172,"客户经理佳佳",,,
854954,900,7500,,2016-06-14T15:36:36.690Z,"","1",965479,"超超",,,
535472,900,7500,,2016-06-04T14:31:17.668Z,"","1",965479,"超超",,,
519659,1900,7500,,2016-06-05T06:30:04.542Z,"","1",692829,"图图",,,
426467,900,7500,,2016-06-04T15:35:26.580Z,"","1",908013,"客户经理乖乖",,,
593497,1900,7500,,2016-06-05T06:12:03.171Z,"","1",692829,"图图",,,
773805,900,7500,,2016-06-06T02:51:08.824Z,"","1",156172,"客户经理佳佳",,,
709633,900,7500,,2016-06-25T10:34:58.375Z,"","1",199978,"丫丫",,,
426673,900,7500,,2016-06-04T10:49:19.526Z,"","1",908013,"客户经理乖乖",,,
510047,900,7500,,2016-06-05T11:29:53.069Z,"","1",965479,"超超",,,
983912,1900,7500,,2016-06-04T10:57:38.300Z,"","1",908013,"客户经理乖乖",,,
187483,900,7500,,2016-06-16T01:46:09.905Z,"","1",199978,"丫丫",,,
360413,900,7500,,2016-06-04T07:00:55.966Z,"","1",908013,"客户经理乖乖",,,
921673,900,7500,,2016-06-05T05:18:57.850Z,"","1",908013,"客户经理乖乖",,,
332810,900,7500,,2016-06-08T04:56:46.258Z,"","1",908013,"客户经理乖乖",,,
330259,900,7500,,2016-06-14T09:51:39.195Z,"","1",156172,"客户经理佳佳",,,
414247,1000,7500,,2016-06-17T08:21:23.362Z,"娄底首批代理送元宝","1",908013,"客户经理乖乖",,,
112143,500,7500,,2016-06-03T11:12:04.644Z,"活动赠送","1",156172,"客户经理佳佳",,,
295638,900,7000,,2016-06-05T03:10:15.523Z,"","1",908013,"客户经理乖乖",,,
896033,900,7000,,2016-06-17T08:57:06.867Z,"","1",199978,"丫丫",,,
352034,500,7000,,2016-06-03T01:51:10.020Z,"公司赠送","1",908013,"客户经理乖乖",,,
575079,1900,7000,,2016-06-05T03:21:11.043Z,"","1",908013,"客户经理乖乖",,,
601063,4000,7000,,2016-06-08T11:46:34.727Z,"","1",908013,"客户经理乖乖",,,
529212,4000,7000,,2016-06-05T11:31:47.142Z,"","1",908013,"客户经理乖乖",,,
467906,900,7000,,2016-06-08T13:36:39.323Z,"","1",908013,"客户经理乖乖",,,
111491,900,7000,,2016-06-08T02:51:11.498Z,"","1",908013,"客户经理乖乖",,,
943436,900,7000,,2016-06-05T14:26:29.325Z,"","1",156172,"客户经理佳佳",,,
562410,1900,7000,,2016-06-09T14:19:04.246Z,"","1",156172,"客户经理佳佳",,,
646856,1900,7000,,2016-06-12T10:40:24.036Z,"","1",156172,"客户经理佳佳",,,
650366,500,7000,,2016-06-03T09:32:19.764Z,"公司赠送","1",908013,"客户经理乖乖",,,
999984,500,7000,,2016-06-03T13:28:49.489Z,"活动赠送","1",156172,"客户经理佳佳",,,
108867,900,7000,,2016-06-05T05:46:17.492Z,"","1",965479,"超超",,,
460958,900,7000,,2016-06-04T11:41:10.449Z,"","1",908013,"客户经理乖乖",,,
981215,900,7000,,2016-06-05T07:09:32.086Z,"","1",156172,"客户经理佳佳",,,
263299,500,7000,,2016-06-02T13:12:46.949Z,"活动赠送","1",156172,"客户经理佳佳",,,
240257,900,7000,,2016-06-07T08:43:18.760Z,"","1",908013,"客户经理乖乖",,,
895876,1900,7000,,2016-06-08T03:22:55.416Z,"","1",908013,"客户经理乖乖",,,
172851,900,7000,,2016-06-12T03:14:00.745Z,"","1",156172,"客户经理佳佳",,,
678040,500,7000,,2016-06-02T09:26:00.160Z,"活动赠送","1",156172,"客户经理佳佳",,,
243804,1900,7000,,2016-06-18T10:33:29.143Z,"","1",199978,"丫丫",,,
694974,900,7000,,2016-06-04T12:44:00.531Z,"","1",908013,"客户经理乖乖",,,
476410,500,7000,,2016-06-03T13:50:21.769Z,"活动赠送","1",156172,"客户经理佳佳",,,
379373,900,7000,,2016-06-13T05:47:43.558Z,"","1",692829,"图图",,,
573054,900,7000,,2016-06-04T15:34:12.261Z,"","1",908013,"客户经理乖乖",,,
480372,900,7000,,2016-06-16T13:56:46.286Z,"","1",199978,"丫丫",,,
987795,1900,7000,,2016-06-07T02:22:52.895Z,"","1",692829,"图图",,,
905379,900,6500,,2016-06-08T11:49:52.294Z,"","1",908013,"客户经理乖乖",,,
916014,900,6500,,2016-06-19T04:43:49.788Z,"","1",199978,"丫丫",,,
305300,900,6500,,2016-06-04T15:19:52.135Z,"","1",965479,"超超",,,
150770,900,6500,,2016-06-12T13:28:54.602Z,"","1",965479,"超超",,,
192791,1900,6500,,2016-06-19T09:19:21.886Z,"","1",199978,"丫丫",,,
539016,900,6500,,2016-06-07T09:10:38.783Z,"","1",156172,"客户经理佳佳",,,
915491,900,6500,,2016-06-12T01:40:56.860Z,"","1",156172,"客户经理佳佳",,,
801197,900,6500,,2016-06-25T06:06:40.091Z,"","1",199978,"丫丫",,,
556505,900,6500,,2016-06-05T14:19:37.634Z,"","1",692829,"图图",,,
264170,900,6500,,2016-06-25T14:28:17.602Z,"","1",199978,"丫丫",,,
930346,900,6500,,2016-06-05T10:59:04.531Z,"","1",156172,"客户经理佳佳",,,
331838,500,6500,,2016-06-03T09:33:19.811Z,"公司赠送","1",965479,"超超",,,
395174,900,6500,,2016-06-11T02:58:07.010Z,"","1",908013,"客户经理乖乖",,,
610131,900,6500,,2016-06-05T02:31:32.149Z,"","1",908013,"客户经理乖乖",,,
859383,900,6500,,2016-06-05T13:41:08.415Z,"","1",692829,"图图",,,
992820,4000,6500,,2016-06-21T10:34:58.748Z,"","1",199978,"丫丫",,,
292544,900,6500,,2016-06-07T04:09:41.850Z,"","1",908013,"客户经理乖乖",,,
934654,900,6500,,2016-06-04T10:40:33.181Z,"","1",908013,"客户经理乖乖",,,
655323,900,6500,,2016-06-04T15:47:45.043Z,"","1",908013,"客户经理乖乖",,,
136524,500,6500,,2016-06-03T11:02:45.994Z,"活动赠送","1",156172,"客户经理佳佳",,,
371398,900,6500,,2016-06-07T09:13:28.042Z,"","1",908013,"客户经理乖乖",,,
837591,500,6500,,2016-06-03T03:31:22.955Z,"活动赠送","1",156172,"客户经理佳佳",,,
126087,900,6500,,2016-06-05T08:08:30.919Z,"","1",156172,"客户经理佳佳",,,
552118,4000,6500,,2016-06-08T01:54:12.126Z,"","1",156172,"客户经理佳佳",,,
628211,900,6500,,2016-06-19T03:11:54.362Z,"","1",199978,"丫丫",,,
714636,900,6500,,2016-06-05T04:43:38.762Z,"","1",156172,"客户经理佳佳",,,
479888,1900,6500,,2016-06-05T03:46:03.743Z,"","1",156172,"客户经理佳佳",,,
678616,500,6500,,2016-06-03T06:54:16.949Z,"公司赠送","1",908013,"客户经理乖乖",,,
499345,900,6500,,2016-06-04T13:58:59.554Z,"","1",156172,"客户经理佳佳",,,
320463,900,6500,,2016-06-13T06:39:55.838Z,"","1",908013,"客户经理乖乖",,,
775734,900,6500,,2016-06-05T06:53:09.497Z,"","1",156172,"客户经理佳佳",,,
805751,900,6500,,2016-06-06T12:36:49.469Z,"","1",965479,"超超",,,
635573,900,6500,,2016-06-04T06:06:06.818Z,"","1",908013,"客户经理乖乖",,,
274140,900,6500,,2016-06-04T15:27:30.603Z,"","1",908013,"客户经理乖乖",,,
780488,900,6500,,2016-06-07T03:59:28.880Z,"","1",908013,"客户经理乖乖",,,
127039,900,6500,,2016-06-04T12:59:27.080Z,"","1",692829,"图图",,,
211782,900,6500,,2016-06-04T15:22:52.426Z,"","1",965479,"超超",,,
676172,500,6500,,2016-06-03T10:56:20.210Z,"活动赠送","1",156172,"客户经理佳佳",,,
729940,4000,6000,,2016-06-22T05:02:16.989Z,"","1",199978,"丫丫",,,
840831,1900,6000,,2016-06-05T09:06:06.795Z,"","1",692829,"图图",,,
681127,900,6000,,2016-06-08T13:01:54.431Z,"","1",692829,"图图",,,
244780,900,6000,,2016-06-07T07:04:32.689Z,"","1",908013,"客户经理乖乖",,,
806796,900,6000,,2016-06-21T11:37:51.483Z,"","1",199978,"丫丫",,,
675360,3000,6000,,2016-06-24T11:45:16.430Z,"","1",199978,"丫丫",,,
549911,900,6000,,2016-06-04T10:59:29.612Z,"","1",908013,"客户经理乖乖",,,
753628,3000,6000,,2016-06-25T03:26:30.604Z,"","1",199978,"丫丫",,,
916806,500,6000,,2016-06-03T03:31:17.536Z,"活动赠送","1",156172,"客户经理佳佳",,,
368018,4000,6000,,2016-06-05T15:53:57.626Z,"","1",965479,"超超",,,
575389,4000,6000,,2016-06-24T09:18:04.696Z,"","1",199978,"丫丫",,,
956194,1900,6000,,2016-06-22T11:56:29.356Z,"","1",199978,"丫丫",,,
956575,900,6000,,2016-06-05T14:54:39.462Z,"","1",692829,"图图",,,
942125,900,6000,,2016-06-17T06:43:05.587Z,"","1",199978,"丫丫",,,
967156,900,6000,,2016-06-13T04:45:06.069Z,"","1",908013,"客户经理乖乖",,,
812592,900,6000,,2016-06-12T02:40:57.335Z,"","1",156172,"客户经理佳佳",,,
515024,1900,6000,,2016-06-21T11:36:12.361Z,"","1",199978,"丫丫",,,
578999,1900,6000,,2016-06-08T12:42:49.919Z,"","1",908013,"客户经理乖乖",,,
183111,900,6000,,2016-06-17T03:24:22.436Z,"","1",199978,"丫丫",,,
286103,900,6000,,2016-06-06T17:17:14.382Z,"","1",965479,"超超",,,
850935,900,6000,,2016-06-25T08:18:10.957Z,"","1",199978,"丫丫",,,
546923,900,6000,,2016-06-14T15:24:55.999Z,"","1",965479,"超超",,,
873293,1900,6000,,2016-06-04T12:25:20.882Z,"","1",965479,"超超",,,
685697,1900,6000,,2016-06-05T10:00:53.167Z,"","1",692829,"图图",,,
144100,900,6000,,2016-06-27T04:11:11.298Z,"","1",199978,"丫丫",,,
730555,900,6000,,2016-06-11T02:05:02.037Z,"","1",156172,"客户经理佳佳",,,
335458,900,6000,,2016-06-07T12:05:36.959Z,"","1",965479,"超超",,,
606143,900,6000,,2016-06-09T01:54:45.466Z,"","1",908013,"客户经理乖乖",,,
636027,900,6000,,2016-06-08T04:58:13.033Z,"","1",908013,"客户经理乖乖",,,
832189,900,6000,,2016-06-13T05:28:10.651Z,"","1",908013,"客户经理乖乖",,,
516000,1900,6000,,2016-06-16T03:41:47.584Z,"","1",199978,"丫丫",,,
927123,500,6000,,2016-06-04T02:36:01.605Z,"公司赠送","1",908013,"客户经理乖乖",,,
306912,500,6000,,2016-06-03T03:31:11.906Z,"活动赠送","1",156172,"客户经理佳佳",,,
985170,1900,6000,,2016-06-24T12:39:14.009Z,"","1",199978,"丫丫",,,
910488,900,6000,,2016-06-15T08:50:04.211Z,"","1",156172,"客户经理佳佳",,,
661939,900,6000,,2016-06-20T03:17:43.931Z,"","1",199978,"丫丫",,,
831640,500,6000,,2016-06-03T02:42:07.986Z,"公司赠送","1",908013,"客户经理乖乖",,,
565451,900,6000,,2016-06-16T03:14:39.698Z,"","1",199978,"丫丫",,,
470869,900,6000,,2016-06-12T11:18:16.428Z,"","1",156172,"客户经理佳佳",,,
586051,900,6000,,2016-06-13T03:49:25.383Z,"","1",692829,"图图",,,
325548,900,6000,,2016-06-05T07:22:21.143Z,"","1",156172,"客户经理佳佳",,,
108012,4000,6000,,2016-06-08T08:10:11.769Z,"","1",908013,"客户经理乖乖",,,
262102,900,5500,,2016-06-20T03:58:07.351Z,"","1",199978,"丫丫",,,
376179,900,5500,,2016-06-05T06:10:54.054Z,"","1",965479,"超超",,,
197455,900,5500,,2016-06-13T06:01:32.023Z,"","1",156172,"客户经理佳佳",,,
101711,900,5500,,2016-06-06T15:18:58.615Z,"","1",965479,"超超",,,
999434,900,5500,,2016-06-11T01:33:18.824Z,"","1",965479,"超超",,,
853113,900,5500,,2016-06-04T14:53:00.673Z,"","1",908013,"客户经理乖乖",,,
861991,900,5500,,2016-06-13T11:25:41.341Z,"","1",965479,"超超",,,
542307,900,5500,,2016-06-05T14:13:52.590Z,"","1",965479,"超超",,,
404649,900,5500,,2016-06-04T15:51:37.675Z,"","1",692829,"图图",,,
451215,900,5500,,2016-06-05T02:12:20.808Z,"","1",908013,"客户经理乖乖",,,
591282,900,5500,,2016-06-04T07:13:38.284Z,"","1",908013,"客户经理乖乖",,,
612548,900,5500,,2016-06-09T12:50:03.739Z,"","1",156172,"客户经理佳佳",,,
305737,1900,5500,,2016-06-06T09:58:45.855Z,"","1",156172,"客户经理佳佳",,,
911597,900,5500,,2016-06-05T03:56:15.229Z,"","1",692829,"图图",,,
662193,900,5500,,2016-06-07T12:03:11.924Z,"","1",965479,"超超",,,
532926,900,5500,,2016-06-20T12:31:09.005Z,"","1",199978,"丫丫",,,
693551,500,5500,,2016-06-02T09:16:47.167Z,"公司活动赠送","1",908013,"客户经理乖乖",,,
691559,900,5500,,2016-06-18T06:21:33.231Z,"","1",199978,"丫丫",,,
296688,500,5500,,2016-06-02T09:11:56.806Z,"公司活动赠送","1",156172,"客户经理佳佳",,,
995691,900,5500,,2016-06-12T06:53:02.516Z,"","1",692829,"图图",,,
970923,500,5500,,2016-06-03T08:42:37.792Z,"公司赠送","1",908013,"客户经理乖乖",,,
808624,900,5500,,2016-06-08T01:42:49.566Z,"","1",908013,"客户经理乖乖",,,
913716,500,5500,,2016-06-04T02:49:15.398Z,"公司赠送","1",908013,"客户经理乖乖",,,
877804,900,5500,,2016-06-12T06:15:10.339Z,"","1",908013,"客户经理乖乖",,,
873104,900,5500,,2016-06-07T03:53:39.173Z,"","1",156172,"客户经理佳佳",,,
413604,900,5500,,2016-06-06T14:07:40.399Z,"","1",908013,"客户经理乖乖",,,
247962,900,5500,,2016-06-10T05:40:03.156Z,"","1",908013,"客户经理乖乖",,,
300392,900,5500,,2016-06-04T14:31:43.641Z,"","1",156172,"客户经理佳佳",,,
961819,500,5500,,2016-06-03T02:01:48.768Z,"公司赠送","1",908013,"客户经理乖乖",,,
770990,1900,5500,,2016-06-15T06:28:26.364Z,"","1",156172,"客户经理佳佳",,,
964668,900,5500,,2016-06-11T01:57:43.061Z,"","1",908013,"客户经理乖乖",,,
156139,900,5500,,2016-06-04T16:30:34.238Z,"","1",965479,"超超",,,
925319,900,5500,,2016-06-16T12:05:13.337Z,"","1",199978,"丫丫",,,
286709,900,5500,,2016-06-08T05:59:40.238Z,"","1",908013,"客户经理乖乖",,,
478141,900,5500,,2016-06-04T11:41:37.466Z,"","1",156172,"客户经理佳佳",,,
209019,900,5500,,2016-06-05T10:24:30.876Z,"","1",156172,"客户经理佳佳",,,
675697,900,5500,,2016-06-04T13:26:03.774Z,"","1",908013,"客户经理乖乖",,,
833752,900,5500,,2016-06-07T08:14:57.511Z,"","1",692829,"图图",,,
374700,900,5500,,2016-06-05T02:05:43.900Z,"","1",965479,"超超",,,
832088,900,5500,,2016-06-05T05:58:29.349Z,"","1",908013,"客户经理乖乖",,,
376186,900,5500,,2016-06-15T12:02:17.062Z,"","1",156172,"客户经理佳佳",,,
104898,900,5500,,2016-06-12T05:54:13.749Z,"","1",908013,"客户经理乖乖",,,
737714,1900,5500,,2016-06-13T02:14:18.760Z,"","1",908013,"客户经理乖乖",,,
